Mabs_sp,SNPs
M.abscessus,1
M.abscessus,1
M.abscessus,0
M.abscessus,37
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,478
M.abscessus,470
M.abscessus,5
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,4
M.abscessus,3
M.abscessus,414
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,16
M.abscessus,0
M.abscessus,0
M.abscessus,4
M.abscessus,5
M.abscessus,4
M.abscessus,0
M.abscessus,466
M.abscessus,441
M.abscessus,457
M.abscessus,456
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,417
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,7
M.abscessus,7
M.abscessus,8
M.abscessus,6
M.abscessus,8
M.abscessus,7
M.abscessus,19
M.abscessus,7
M.abscessus,5
M.abscessus,8
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,13
M.abscessus,14
M.abscessus,13
M.abscessus,13
M.abscessus,5
M.abscessus,0
M.abscessus,0
M.abscessus,22
M.abscessus,23
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,0
M.abscessus,7
M.abscessus,6
M.abscessus,24
M.abscessus,0
M.abscessus,0
M.abscessus,429
M.abscessus,437
M.abscessus,433
M.abscessus,439
M.abscessus,431
M.abscessus,439
M.abscessus,420
M.abscessus,0
M.abscessus,276
M.bolletii,67
M.bolletii,50
M.bolletii,0
M.massiliense,3
M.massiliense,2
M.massiliense,7
M.massiliense,3
M.massiliense,3
M.massiliense,3
M.massiliense,2
M.massiliense,3
M.massiliense,0
M.massiliense,158
M.massiliense,0
M.massiliense,1
M.massiliense,3022
M.massiliense,4
M.massiliense,0
M.massiliense,2
M.massiliense,0
M.massiliense,5
M.massiliense,14
M.massiliense,0
M.massiliense,11
M.massiliense,0
M.massiliense,0
M.massiliense,11
M.massiliense,0
M.massiliense,40
M.massiliense,0
M.massiliense,1
M.massiliense,0
M.massiliense,0
