,MB080690_ibis,L00042507_ibis,MB082744_ibis,L00006319_ibis,MB080688_ibis,ref
MB080690_ibis,0,8508,47,8264,67,8768
L00042507_ibis,8508,0,8487,7596,8480,8011
MB082744_ibis,47,8487,0,8273,50,8775
L00006319_ibis,8264,7596,8273,0,8272,8095
MB080688_ibis,67,8480,50,8272,0,8749
ref,8768,8011,8775,8095,8749,0
